mode,node_id
Walk,62208369
Walk,276310679
Walk,4399280673
Walk,276310678
Walk,62345201
Walk,62345200
Walk,62345199
Walk,62345198
Walk,62345196
Walk,62345194
Walk,4399280678
Walk,276310748
Walk,62345192
Walk,364008038
Walk,364008039
Walk,258597541
Walk,276310738
Walk,62477353
Walk,62477355
Walk,291406312
Walk,62224307
Walk,4399281325
Walk,62477357
Walk,4399281355
Walk,95705298
Walk,4399281372
Walk,95707014
Walk,4399281381
Walk,4399281385
Walk,3937107173
Walk,1853579923
Walk,1853579915
Walk,1853579919
Walk,256042086
Walk,1893016435
Walk,1893016439
Walk,1893016443
Walk,1893016446
Walk,3937107132
Walk,1893016448
Walk,3937107143
Walk,1893016451
Walk,1893016455
Walk,95708422
Walk,1893016459
Walk,1893016461
Walk,256042113
Walk,1893016466
Walk,1893016467
Walk,1893016468
Walk,95708423
Walk,95706377
Walk,366760741
Walk,267425880
Walk,5027298052
Walk,366760742
Walk,5027298053
Walk,5027298055
Walk,265672728
Walk,2599137932
Walk,95706378
Walk,2599137939
Walk,2607436597
Walk,5027298043
Walk,2599137940
Walk,95714494
Walk,288372678
Walk,288372679
Walk,95722049
Walk,95714618
Walk,288372713
Walk,95714619
Walk,288372812
Walk,95714622
Walk,288372764
Walk,95714623
Walk,95713498
Walk,95713499
Walk,95713500
Walk,95718535
Walk,2562376341
Walk,2562376342
Walk,95718536
Walk,2562376327
Walk,256192150
Walk,2562376328
Walk,2562376329
Walk,256192151
Walk,276495594
Walk,2562376330
Walk,95719927
Walk,95718020
Walk,5674148937
Walk,95718594
Walk,272162122
Walk,2590587358
Walk,95719941
Walk,5674150454
Walk,5287982015
Walk,272161926
Walk,4924137213
Walk,1815032088
Walk,2195113333
Walk,2195113334
Walk,1366303489
Walk,272162096
Walk,95709168
Walk,95709169
Walk,95719853
Walk,2560305193
Walk,95719943
Walk,95711363
Walk,2560305210
Walk,2560305209
Walk,4008256656
Walk,256219342
Walk,3938923872
Walk,2578982361
Walk,2578982357
Walk,2578982358
Walk,2578982916
Walk,2578982917
Walk,1918190430
Walk,1918190432
Walk,5438999053
Walk,95708146
Walk,1918190435
Walk,1918190438
Walk,1918190440
Walk,1918190443
Walk,1918174653
Walk,1918174654
Walk,95712139
Walk,1918174661
Walk,525782800
Walk,2557647251
Walk,256219131
Walk,5623317950
Walk,5623317951
Walk,282318813
Walk,3897712341
Walk,265500400
Walk,95714168
Walk,5553493309
Walk,5553493310
Walk,5553493311
Walk,1895987437
Walk,5553493312
Walk,5553493313
Walk,1918200474
Walk,2928547680
Walk,1918200515
Walk,5553493363
Walk,2928547681
Walk,5553493417
Walk,5553493371
Walk,3952968649
Walk,5553493372
Walk,3952968644
Walk,3952427875
Walk,5553493308
Walk,3952968642
Walk,5553493307
Walk,5553493373
Walk,5553493374
Walk,5553493375
Walk,5553493376
Walk,5553493377
Walk,95714169
Walk,1918200610
Walk,3952968665
Walk,3952968666
Walk,3952968667
Walk,3952968668
Walk,3952968669
Walk,3952968670
Walk,3952968671
Walk,3952968672
Walk,3952968673
Walk,3952968674
Walk,4077339441
Walk,366764618
Walk,366764617
Walk,366764616
Walk,366764615
Walk,366764614
Walk,366764613
Walk,2131732665
Walk,366764612
Walk,366771966
Walk,366764453
Walk,366764346
Walk,267383944
Walk,267383945
Walk,267383974
Walk,1877656076
Walk,1877656074
Walk,256203479
Walk,1877656071
Walk,1877656070
Walk,1877656069
Walk,256215552
Walk,1877656072
Walk,1877656073
Walk,256203478
Walk,1877656075
Walk,1877656077
Walk,256215553
Walk,366772670
Walk,267383960
Walk,366772672
Walk,256203477
Walk,267383961
Walk,366762035
Walk,95723220
Walk,366762036
Walk,95713201
Walk,366762099
Walk,366762086
Walk,95723420
Walk,366762105
Walk,4583424144
Walk,4583424145
Walk,256207459
Walk,366762083
Walk,267403107
Walk,95723219
Walk,5398419292
Walk,366762084
Walk,95710207
Walk,597043602
Walk,4876664479
Walk,256218358
Walk,4876664506
Walk,597043582
Walk,2869446905
Walk,95712997
Walk,95712998
Walk,95712676
Walk,95720336
Walk,95715584
Walk,95710399
Walk,95718208
Walk,95717739
Walk,3897719587
Walk,95717740
Walk,3897719586
Walk,95717741
Walk,2585447516
Walk,95717742
Walk,95717743
Walk,95715569
Walk,5352536581
Walk,5352536579
Walk,5352536580
Walk,5352536591
Walk,95710201
Walk,5352536578
Walk,5352536576
Walk,5352536577
Walk,5352536584
Walk,5352536585
Walk,5352536571
Walk,95714578
Walk,274843045
Walk,95714579
Walk,95714571
Walk,256198094
Walk,256205791
Walk,2849810722
Walk,2849813506
Walk,2849813508
Walk,2849810519
Walk,256116175
Walk,2849813501
Walk,2849813488
Walk,2849810514
Walk,3119663186
Walk,95712804
Walk,95712805
Walk,95712806
Walk,95722904
Walk,95722905
Walk,95711197
Walk,1241540360
Walk,1241540346
Walk,95703987
Walk,256206233
Walk,1241540353
Walk,95703988
Walk,95703989
Walk,1241540309
Walk,95703990
Walk,1241540297
Walk,95703991
Walk,1241540316
Walk,591391499
Walk,95703993
Walk,591391501
Walk,591391502
Walk,2585408650
Walk,2585408648
Walk,95703994
Walk,95703995
Walk,95703996
Walk,2849805337
Walk,95703997
Walk,4924196685
Walk,95703998
Walk,2849805328
Walk,4924196672
Walk,633037371
Walk,95704000
Walk,2849805327
Walk,3237369939
Walk,3237369919
Walk,280379917
Walk,3977329133
Walk,280379918
Walk,3975206230
Walk,3975206229
Walk,95704644
Walk,95722196
Walk,95722197
Walk,95722198
Walk,95722199
Walk,95722200
Walk,95722201
Walk,5439019131
Walk,95722202
Walk,95722203
Walk,95722204
Walk,95722205
Walk,95722206
Walk,95722207
Walk,62228584
Walk,95722209
Walk,95722210
Walk,95722211
Walk,95722212
Walk,95722213
Walk,95722214
Walk,95722215
Walk,95722216
Walk,95722217
Walk,95722218
Walk,95722219
Walk,95722220
Walk,95722221
Walk,95722222
Walk,95722223
Walk,62184716
Walk,95722225
Walk,95722226
Walk,95722227
Walk,95715206
Walk,95722228
Walk,95722229
Walk,2471634231
Walk,2471634243
Walk,62415541
Walk,95722230
Walk,95722231
Walk,95722232
Walk,62213814